name,analysis_no_of_clusters_score,analysis_infiltration_score,analysis_mrca_score,analysis_total_score,n_d_0,n_d_1,n_d_2,n_d_3,n_d_4,n_s,n_p,Ne_d_0,Ne_d_1,Ne_d_2,Ne_d_3,Ne_d_4,Ne_s,Ne_p,Ne_actual,mut_haplotypes_sample, mut_haplotypes_population
6_16_1000_0.0025_2.5e-05_0.7_100,0.6136690647482015,0.6445342748060756,0.4263891449648008,0.5902068582893725,20,20,14,13,10,17,26,640.534437179655,640.534437179655,388.3061408102834,350.9881091639164,247.05749222581886,508.29865893920737,451.6514777167811,1000,139,1424 
7_17_1000_0.0025_0.00025_0.5_100,0.2956060606060606,0.5586809474638422,0.07303702312379995,0.30168193801238874,41,41,22,15,10,19,30,2369.567420555004,2369.567420555004,826.9436094562618,469.31316942961485,267.2832247502296,662.4350362375538,580.9512522868396,1000,110,1010 
7_13_1000_0.00025_2.5e-05_0.5_100,0.18770226537216825,0.9105159780887936,0.18736531038484444,0.2960737790315635,21,21,16,12,9,6,10,7976.101841654332,7976.101841654332,5304.283549578002,3518.874924226216,2372.4236437979316,1389.0475882921116,1540.5924636806344,1000,103,1014 
7_16_1000_0.0025_2.5e-05_0.5_100,0.44415584415584425,0.7988309748737557,0.38183116822656404,0.4880084123741389,33,33,20,10,7,21,35,1598.397144751018,1598.397144751018,715.3310906277992,267.2832247502296,166.42380200364806,770.1521058910276,702.017850310301,1000,110,1020 
7_15_1000_0.00025_0.0025_0.7_100,0.05335260629781178,0.5258393977908336,0.007661632198487818,0.11737197890686646,71,71,31,13,7,6,6,54513.165370482915,54513.165370482915,12040.999988788892,3449.4170619473507,1532.736350419055,1260.2730059271926,803.0825335687044,1000,146,1410 
7_15_1000_0.00025_0.0025_0.5_100,0.0684144403798544,0.8150539982977572,0.0019027452043483253,0.17043361979121388,59,59,20,6,4,5,6,63870.90638979938,63870.90638979938,7643.041419494405,1414.226170541827,840.9408612671562,1117.2439845904498,847.5830556360867,1000,97,1005 
7_16_1000_0.0025_2.5e-05_0.7_100,0.32811194653299913,0.7004191396769572,0.10417148034891759,0.35036695557698055,27,27,17,13,10,16,20,1023.1010961144385,1023.1010961144385,517.576329313318,356.62372415577875,250.60790590382732,475.2225556323231,330.2864068665948,1000,133,1405 
7_14_1000_0.00025_0.00025_0.7_100,0.05621321124918248,0.8564810292820652,0.029443434277797872,0.17223791740840716,43,43,23,15,9,4,5,21308.130052700675,21308.130052700675,7854.111615021611,4269.602760909719,2151.1365119519864,768.799923526017,650.3264145429616,1000,139,1419 
2_17_1000_0.0025_0.00025_0.7,0.2092109836635384,0.6021319001563031,0.029561081669756278,0.24120163583838578,46,46,27,20,15,16,26,2430.4995248511,2430.4995248511,1006.9329125130396,644.6601778901679,429.33573912409685,469.63506305190555,451.5187645846425,1000,137,1426 
3_13_1000_0.00025_2.5e-05_0.5,0.14509803921568626,0.7171544334174091,0.18799433559197343,0.23734094280238777,25,25,15,12,10,5,6,10567.31349182415,10567.31349182415,4850.762809014004,3532.521036834695,2746.2753993647525,1101.569380776885,847.1680962350365,1000,102,1008 
3_13_1000_0.00025_2.5e-05_0.7,0.17833333333333334,0.7861465923495998,0.30997625391534034,0.2892517602730743,21,21,13,11,8,5,5,6851.720614497796,6851.720614497796,3500.9123133973776,2796.9133182957526,1841.584897911382,1012.9738721382093,650.6696380850286,1000,140,1414 
3_15_1000_0.00025_0.0025_0.5,0.06356992894056847,0.8570615655518106,0.0022900546946203718,0.17340169329536256,70,70,21,3,1,5,6,116350.02867467634,116350.02867467634,8295.386518646754,588.0798756483455,155.6086238524778,1120.5374685969093,846.7548060721481,1000,96,1011 
3_15_1000_0.00025_0.0025_0.7,0.050644129463426966,0.6498417033962283,0.0009846277598660315,0.13307484029781302,72,72,36,14,8,5,5,60124.778221330984,60124.778221330984,15758.44834600364,3883.0614081028343,1845.4753592444085,1014.805840938493,651.1528534135543,1000,139,1407 
3_16_1000_0.0025_2.5e-05_0.7,0.3637115839243499,0.710522205336035,0.2157810390758862,0.3935435954088331,28,28,19,13,11,15,23,1048.4642586972275,1048.4642586972275,591.450045071403,349.2057784772669,279.032031567162,424.64727295574664,389.8936347822781,1000,141,1418 
3_17_1000_0.0025_0.00025_0.7,0.20155555555555557,0.6584310397205134,0.09409861908475063,0.2539683377096785,44,44,25,21,14,18,28,2096.725775489433,2096.725775489433,856.6629861269469,664.5463033536088,377.70996117172905,534.0879174629473,495.41834247286545,1000,150,1406 
7_13_1000_0.00025_2.5e-05_0.7,0.22737306843267108,0.5289544496583096,0.23783711600751,0.2741798827527427,19,19,12,9,8,6,8,5747.288681520428,5747.288681520428,3062.7507553489213,2097.8133554166698,1801.6167761969516,1249.219227528851,1121.6469372248378,1000,151,1403 
