name,analysis_no_of_clusters_score,analysis_infiltration_score,analysis_mrca_score,analysis_total_score,n_d_0,n_d_1,n_d_2,n_d_3,n_d_4,n_s,n_p,Ne_d_0,Ne_d_1,Ne_d_2,Ne_d_3,Ne_d_4,Ne_s,Ne_p,Ne_actual,mut_haplotypes_sample, mut_haplotypes_population,method
10_13_1000_0.00025_2.5e-05_0.5_100,0.1564459930313589,1.0,0.6205213423224658,0.3525903964703211,45,45,18,12,7,4,4,29831.975010746275,29831.975010746275,6252.588702970375,3492.3173444619897,1688.2963462700643,823.7881696938739,527.0140132662715,1000,105,1042.0,SINGER
8_15_1000_0.00025_0.0025_0.5_100,0.0332581520700332,0.9550285673728665,0.1434899858879217,0.1880584894381414,82,82,12,4,3,3,5,203338.3598025798,203338.3598025798,3546.422111428059,832.0970552419699,580.9512522868395,580.9512522868395,685.9260294927045,1000,101,1004.0,SINGER
9_14_1000_0.00025_0.00025_0.5_100,0.0686932215234102,0.9331132309623156,0.414428688013594,0.2502165429127736,50,50,15,12,8,5,6,36965.15368065162,36965.15368065162,4769.006909224502,3479.391523090576,2007.329945421699,1089.8982193906686,847.4445496254266,1000,106,1006.0,SINGER
8_13_1000_0.00025_2.5e-05_0.5_100,0.1438636363636363,0.9801652892561984,0.4174767410951618,0.3103508500072495,38,38,23,16,6,6,8,20555.168339355703,20555.168339355703,8857.546377980132,5148.940365140154,1362.5799093903468,1362.5799093903468,1179.010172555604,1000,110,1042.0,SINGER
7_13_1000_0.00025_2.5e-05_0.7_100,0.0886681383370125,0.6814056748527226,0.5860839201557935,0.2521911360871862,44,44,25,12,11,6,8,20867.688066734947,20867.688066734947,8539.42581511638,3062.7507553489213,2728.574358712451,1249.219227528851,1121.6469372248378,1000,151,1403.0,SINGER
7_13_1000_0.00025_2.5e-05_0.5_100,0.1242377789133026,0.7753399806092558,0.2301931527848747,0.2377964152484314,32,32,21,15,12,6,10,15908.535451049383,15908.535451049383,7976.101841654332,4829.731870223347,3518.874924226216,1389.0475882921116,1540.5924636806344,1000,103,1014.0,SINGER
7_14_1000_0.00025_0.00025_0.5_100,0.0498506571087216,0.7987317342156052,0.4013157380254173,0.2149025808122585,60,60,15,8,6,4,6,73108.90739519229,73108.90739519229,5060.536744833518,2097.431844583396,1432.507848105511,850.3813064792739,846.3431732505265,1000,93,1014.0,SINGER
10_14_1000_0.00025_0.00025_0.7_100,0.0234138124649073,0.9425910578116836,0.1997112655187473,0.1877350172249997,72,72,26,14,10,2,3,61369.848617503565,61369.848617503565,9505.849276650695,3903.982726136131,2482.112415843283,331.93889808196366,362.728243554594,1000,137,1417.0,SINGER
7_15_1000_0.00025_0.0025_0.5_100,0.0567718040057562,0.7855421994054658,0.2991402788460992,0.2024426345417641,71,71,16,7,3,5,6,119392.2689728654,119392.2689728654,5455.543417590281,1731.1162329742504,586.6092846402231,1117.2439845904498,847.5830556360867,1000,97,1005.0,SINGER
4_15_1000_0.00025_0.0025_0.5_100,0.0434782608695652,0.9208257734912146,0.0620605488572244,0.1778677309609614,80,80,11,3,2,4,6,225861.5658400088,225861.5658400088,3204.55915147123,588.0798756483455,357.3228635878246,843.2424125427566,847.5830556360867,1000,96,1005.0,SINGER
